"name","team","total_gold_medals"
"Michael Fred Phelps, II","United States","23"
"Raymond Clarence ""Ray"" Ewry","United States","10"
"Mark Andrew Spitz","United States","9"
"Larysa Semenivna Latynina (Diriy-)","Soviet Union","9"
"Frederick Carlton ""Carl"" Lewis","United States","9"
"Paavo Johannes Nurmi","Finland","9"
"Ole Einar Bjrndalen","Norway","8"
"Matthew Nicholas ""Matt"" Biondi","United States","8"
"Sawao Kato","Japan","8"
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)","United States","8"
"Usain St. Leo Bolt","Jamaica","8"
"Donald Arthur ""Don"" Schollander","United States","7"
"Vra slavsk (-Odloilov)","Czechoslovakia","7"
"Viktor Ivanovych Chukarin","Soviet Union","7"
"Nikolay Yefimovich Andrianov","Soviet Union","7"
"Borys Anfiyanovych Shakhlin","Soviet Union","7"
"Aladr Gerevich (-Gerei)","Hungary","7"
