"name","team","total_medals"
"Michael Fred Phelps, II","United States","28"
"Larysa Semenivna Latynina (Diriy-)","Soviet Union","18"
"Nikolay Yefimovich Andrianov","Soviet Union","15"
"Borys Anfiyanovych Shakhlin","Soviet Union","13"
"Takashi Ono","Japan","13"
"Edoardo Mangiarotti","Italy","13"
"Ole Einar Bjrndalen","Norway","13"
"Dara Grace Torres (-Hoffman, -Minas)","United States","12"
"Ryan Steven Lochte","United States","12"
"Natalie Anne Coughlin (-Hall)","United States","12"
"Paavo Johannes Nurmi","Finland","12"
"Sawao Kato","Japan","12"
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)","United States","12"
"Aleksey Yuryevich Nemov","Russia","12"
